OBJECT_NAME,OBJECT_ID,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,RCS_SIZE,TLE_LINE1,TLE_LINE2
"FREGAT DEB","2011-037JC","148.049","4686.770","1097.719","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46093U 11037JC  21077.76423170 -.00000055  00000-0  00000-0 0  9992","2 46093  51.1218 228.2711 1935763  98.3237 284.0325  9.72649810 21868"
"FREGAT DEB","2011-037JD","159.013","6113.264","575.646","DEBRIS","","","","","1 46094U 11037JD  20223.39331060 -.00043330 +00000-0 -49624-1 0  9990","2 46094 051.1186 296.1247 2847810 097.1293 295.8016 09.05586143000551"
"FREGAT DEB","2011-037JE","147.634","4374.495","1375.324","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 46095U 11037JE  21271.23418306  .00010959  00000-0  28166+0 0  9992","2 46095  51.0630 265.7092 1620640 348.2850   8.4068  9.75384394 40878"
"FREGAT DEB","2011-037JF","118.138","2683.837","510.742","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46096U 11037JF  21181.79280678  .02166047  00000-0  73914+0 0  9996","2 46096  50.7518  39.7590 1362370 149.7970 218.9059 12.18911133 38808"
"FREGAT DEB","2011-037JG","152.141","5329.324","795.261","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46097U 11037JG  21231.02256362  .00032476  00000-0  12061+0 0  9994","2 46097  51.2779 359.4143 2401408 232.6050 103.1283  9.46488350 36111"
"FREGAT DEB","2011-037JH","119.023","2496.525","777.570","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 46098U 11037JH  21268.36479541  .00121440  00000-0  21673+0 0  9997","2 46098  51.2647 131.4659 1072312   7.1940 354.2996 12.09853108 35744"
"FREGAT DEB","2011-037JJ","129.312","3425.523","759.642","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46099U 11037JJ  21256.62943599  .00019579  00000-0  42106-1 0  9998","2 46099  51.2786 348.0692 1573586 205.0937 146.4608 11.13582651 45160"
"FREGAT DEB","2011-037JK","122.988","2434.080","1194.123","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 46100U 11037JK  20275.38318450  .00062279  00000-0  51995+0 0  9995","2 46100  50.9484  63.7742 0756788 298.8666  53.8239 11.70844021  6608"
"FREGAT DEB","2011-037JL","120.987","2637.927","812.024","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46101U 11037JL  21226.46533378 -.00009041  00000-0 -20012-1 0  9998","2 46101  51.2843 259.0810 1126668 232.5742 116.7288 11.90214106  9598"
"FREGAT DEB","2011-037JM","120.704","3068.714","355.971","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46102U 11037JM  21218.73761829  .00590006  00000-0  48599-1 0  9998","2 46102  51.4068 340.7550 1676504 198.0955 155.2488 11.93002972 42046"
